City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
6,Hilo,US,78.53,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
9,Carnarvon,AU,80.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
10,Ugoofaaru,MV,80.94,overcast clouds,5.6667,73.0,Ungoofaaru Inn
11,Yeppoon,AU,83.98,scattered clouds,-23.1333,150.7333,Villa Mar Colina
12,Pandan,PH,81.54,broken clouds,14.0453,124.1694,Bonifacio Lodge
15,Rikitea,PF,77.97,overcast clouds,-23.1203,-134.9692,People ThankYou
16,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
20,Atambua,ID,82.42,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
22,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
27,Dingle,PH,83.39,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
28,Hobart,AU,76.12,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
35,Quatre Cocos,MU,77.09,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
42,Faanui,PF,81.63,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
45,Hithadhoo,MV,81.82,few clouds,-0.6,73.0833,Scoop Guest House
50,Kanigoro,ID,82.87,overcast clouds,-8.13,112.219,Musafer Villa ( Villa Erlin )
51,Rafaela,AR,83.05,clear sky,-31.2503,-61.4867,Parra Hotel & Suites
56,Bambous Virieux,MU,77.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
58,Bengkulu,ID,83.01,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
68,Trairi,BR,77.09,overcast clouds,-3.2778,-39.2689,janelas do mar
78,Paeroa,NZ,84.06,overcast clouds,-37.3667,175.6667,Racecourse Motel Paeroa
82,The Valley,AI,78.1,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
83,Umiray,PH,80.8,few clouds,15.2206,121.4111,The Chairmans Residence
85,Vaini,TO,78.96,overcast clouds,-21.2,-175.2,Keleti Beach Resort
88,Kavieng,PG,84.22,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
91,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
94,Edd,ER,77.72,clear sky,13.9297,41.6925,
97,Lorengau,PG,83.48,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
99,Necochea,AR,79.03,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
100,Ambon,ID,87.94,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
103,Buluang,PH,85.89,overcast clouds,13.3068,123.3425,Enon Beach Resort
113,Ranong,TH,78.73,scattered clouds,9.9658,98.6348,Tinidee Hotel@Ranong
116,Salta,AR,77.29,broken clouds,-24.7859,-65.4117,Hotel Alejandro I
