City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Izberbash,RU,2022-01-10 02:32:17,42.5696,47.8645,42.85,82,65,8.08,broken clouds
1,Mataura,NZ,2022-01-10 02:32:17,-46.1927,168.8643,69.48,47,48,3.42,scattered clouds
2,Sakhnovshchyna,UA,2022-01-10 02:32:18,49.1517,35.872,31.6,95,100,5.32,overcast clouds
3,Lengede,DE,2022-01-10 02:32:18,52.2049,10.3078,40.64,93,100,1.99,overcast clouds
4,Coihaique,CL,2022-01-10 02:28:06,-45.5752,-72.0662,60.75,59,100,8.05,overcast clouds
5,Pyaozerskiy,RU,2022-01-10 02:32:19,65.8333,31.1667,5.9,93,98,4.59,overcast clouds
6,Hilo,US,2022-01-10 02:28:31,19.7297,-155.09,78.53,80,75,6.91,broken clouds
7,Bud,US,2022-01-10 02:32:19,39.447,-86.1758,25.25,63,5,10.54,clear sky
8,Tomatlan,MX,2022-01-10 02:32:20,19.9333,-105.25,68.49,79,76,3.65,broken clouds
9,Carnarvon,AU,2022-01-10 02:31:21,-24.8667,113.6333,80.67,47,0,16.11,clear sky
10,Ugoofaaru,MV,2022-01-10 02:32:21,5.6667,73.0,80.94,74,100,8.93,overcast clouds
11,Yeppoon,AU,2022-01-10 02:32:21,-23.1333,150.7333,83.98,60,41,15.52,scattered clouds
12,Pandan,PH,2022-01-10 02:32:21,14.0453,124.1694,81.54,75,74,6.69,broken clouds
13,Sokolka,PL,2022-01-10 02:32:22,53.4072,23.5023,19.65,97,22,5.1,few clouds
14,Kruisfontein,ZA,2022-01-10 02:32:22,-34.0033,24.7314,68.88,76,100,13.22,overcast clouds
15,Rikitea,PF,2022-01-10 02:31:21,-23.1203,-134.9692,77.97,78,100,19.15,overcast clouds
16,Saint-Philippe,RE,2022-01-10 02:32:23,-21.3585,55.7679,76.59,84,97,12.21,light rain
