City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Morgan City,US,2022-01-09 03:32:28,29.6994,-91.2068,66.2,100,0,8.05
1,Eureka,US,2022-01-09 03:32:28,40.8021,-124.1637,43.66,77,34,5.91
2,Torbay,CA,2022-01-09 03:30:20,47.6666,-52.7314,23.58,78,75,8.01
3,Kodiak,US,2022-01-09 03:32:30,57.79,-152.4072,27.91,74,100,14.97
4,Vaini,TO,2022-01-09 03:32:30,-21.2,-175.2,75.85,83,100,12.57
5,Kapaa,US,2022-01-09 03:32:31,22.0752,-159.319,76.98,74,100,1.01
6,Punta Arenas,CL,2022-01-09 03:32:33,-53.15,-70.9167,46.51,71,0,6.91
7,Muros,ES,2022-01-09 03:32:34,42.7762,-9.0603,57.09,96,100,14.45
8,Leningradskiy,RU,2022-01-09 03:32:34,69.3833,178.4167,-13.58,95,73,11.01
9,Puerto Ayora,EC,2022-01-09 03:32:35,-0.7393,-90.3518,71.73,88,60,4.79
10,Hobart,AU,2022-01-09 03:32:36,-42.8794,147.3294,78.03,56,75,1.01
11,Qaanaaq,GL,2022-01-09 03:32:37,77.484,-69.3632,-7.53,82,49,5.57
12,Plettenberg Bay,ZA,2022-01-09 03:32:37,-34.0527,23.3716,71.1,75,0,5.53
13,Pemba,MZ,2022-01-09 03:32:38,-12.974,40.5178,81.3,94,75,3.44
14,Broken Hill,AU,2022-01-09 03:27:48,-31.95,141.4333,89.31,20,0,13.8
15,Barrow,US,2022-01-09 03:32:17,71.2906,-156.7887,-18.38,76,0,4.61
16,Mataura,NZ,2022-01-09 03:32:41,-46.1927,168.8643,73.72,51,82,9.04
17,Hilo,US,2022-01-09 03:32:05,19.7297,-155.09,76.73,79,0,3.44
18,Oranjestad,AW,2022-01-09 03:30:13,12.524,-70.027,80.55,85,40,5.01
19,Bambous Virieux,MU,2022-01-09 03:32:06,-20.3428,57.7575,80.22,94,40,3.44
20,Caohe,CN,2022-01-09 03:32:43,30.2297,115.4335,45.45,81,100,3.67
21,Asmar,AF,2022-01-09 03:32:45,35.0333,71.3581,41.86,63,76,8.08
22,Manaure,CO,2022-01-09 03:32:46,11.7751,-72.4445,75.16,80,5,12.35
23,Tvoroyri,FO,2022-01-09 03:32:47,61.5556,-6.8111,36.79,78,9,7.56
24,High Rock,BS,2022-01-09 03:32:48,26.6208,-78.2833,69.82,69,100,23.87
25,Chokurdakh,RU,2022-01-09 03:32:49,70.6333,147.9167,-11.83,96,100,9.37
26,Kirkenaer,NO,2022-01-09 03:32:50,60.4564,12.0582,26.08,98,100,2.66
27,Gazanjyk,TM,2022-01-09 03:32:50,39.2446,55.5154,48.49,79,100,3.87
28,Turbat,PK,2022-01-09 03:32:51,26.0023,63.044,57.25,38,0,7.27
29,Hami,CN,2022-01-09 03:32:52,42.8,93.45,26.58,40,0,3.96
30,Rio Gallegos,AR,2022-01-09 03:28:48,-51.6226,-69.2181,53.65,40,40,6.91
31,Busselton,AU,2022-01-09 03:32:53,-33.65,115.3333,72.09,37,0,15.43
32,Ancud,CL,2022-01-09 03:32:54,-41.8697,-73.8203,58.53,92,14,2.48
33,Tilichiki,RU,2022-01-09 03:32:55,60.4667,166.1,0.45,86,37,10.18
34,Atuona,PF,2022-01-09 03:32:55,-9.8,-139.0333,79.0,73,32,19.42
35,Rikitea,PF,2022-01-09 03:32:56,-23.1203,-134.9692,78.04,80,100,20.04
36,Port Blair,IN,2022-01-09 03:30:00,11.6667,92.75,82.4,67,53,13.13
37,Ushuaia,AR,2022-01-09 03:31:34,-54.8,-68.3,40.1,95,42,4.07
38,Wanxian,CN,2022-01-09 03:32:59,30.8039,108.3897,52.25,74,100,1.72
39,Saint-Pierre,RE,2022-01-09 03:32:59,-21.3393,55.4781,79.29,74,0,3.44
40,Anupgarh,IN,2022-01-09 03:33:01,29.1911,73.2086,54.16,70,12,6.53
41,Vardo,NO,2022-01-09 03:33:02,70.3705,31.1107,25.95,74,100,27.98
42,Key West,US,2022-01-09 03:29:17,24.5557,-81.7826,78.8,84,0,8.05
43,Voh,NC,2022-01-09 03:33:04,-20.9667,164.7,83.5,76,61,7.36
44,Gravdal,NO,2022-01-09 03:33:04,68.1214,13.5031,28.4,76,6,9.08
45,Mar Del Plata,AR,2022-01-09 03:29:11,-38.0023,-57.5575,72.09,92,0,5.01
46,Soma,TR,2022-01-09 03:34:06,39.1855,27.6094,48.99,87,89,3.38
47,Santa Maria,BR,2022-01-09 03:34:07,-29.6842,-53.8069,67.3,77,0,12.66
48,New Norfolk,AU,2022-01-09 03:34:07,-42.7826,147.0587,77.67,36,35,4.76
49,Saint George,US,2022-01-09 03:34:08,37.1041,-113.5841,52.39,45,0,1.01
50,Tuatapere,NZ,2022-01-09 03:34:09,-46.1333,167.6833,65.53,73,83,3.0
51,Colares,PT,2022-01-09 03:34:09,38.7992,-9.4469,54.82,73,9,3.0
52,Sioux Lookout,CA,2022-01-09 03:34:10,50.1001,-91.917,-2.13,71,75,18.41
53,Poum,NC,2022-01-09 03:34:11,-20.2333,164.0167,82.2,76,28,13.15
54,Shirokiy,RU,2022-01-09 03:34:12,49.758,129.523,-7.58,95,100,2.8
55,Pevek,RU,2022-01-09 03:34:13,69.7008,170.3133,-7.47,98,78,1.83
56,Camalu,MX,2022-01-09 03:34:14,30.85,-116.0667,56.35,76,99,1.99
57,Albany,US,2022-01-09 03:31:53,42.6001,-73.9662,24.31,59,60,1.01
58,Lodwar,KE,2022-01-09 03:34:15,3.1191,35.5973,80.83,44,79,4.18
59,Saint-Philippe,RE,2022-01-09 03:34:16,-21.3585,55.7679,79.21,78,7,6.73
60,Hasaki,JP,2022-01-09 03:34:17,35.7333,140.8333,54.0,37,34,7.49
61,Talnakh,RU,2022-01-09 03:34:18,69.4865,88.3972,6.21,94,100,11.79
62,Bluff,NZ,2022-01-09 03:34:19,-46.6,168.3333,59.79,91,100,5.1
63,Abdanan,IR,2022-01-09 03:34:20,32.9926,47.4198,44.83,48,0,3.71
64,Yarmouth,US,2022-01-09 03:34:20,41.7057,-70.2286,30.96,80,0,0.0
65,Khatanga,RU,2022-01-09 03:34:21,71.9667,102.5,-4.49,90,97,8.88
66,Seoul,KR,2022-01-09 03:29:30,37.5683,126.9778,41.41,60,40,4.61
